Team,W,L,PS/G,PA/G
Toronto Raptors,59,23,111.7,103.9
Boston Celtics,55,27,104.0,100.4
Philadelphia 76ers,52,30,109.8,105.3
Cleveland Cavaliers,50,32,110.9,109.9
Indiana Pacers,48,34,105.6,104.2
Miami Heat,44,38,103.4,102.9
Milwaukee Bucks,44,38,106.5,106.8
Washington Wizards,43,39,106.6,106.0
