Team,W,L,PS/G,PA/G
Houston Rockets,65,17,112.4,103.9
Golden State Warriors,58,24,113.5,107.5
Portland Trail Blazers,49,33,105.6,103.0
Oklahoma City Thunder,48,34,107.9,104.4
Utah Jazz,48,34,104.1,99.8
New Orleans Pelicans,48,34,111.7,110.4
San Antonio Spurs,47,35,102.7,99.8
Minnesota Timberwolves,47,35,109.5,107.3
